nisit,n0203,nˈɪsɪt
nisitha,n02030,nɪsˈɪθə
niskruti,n026030,nˈɪskɹuːti
nisma,n0250,nˈɪsmə
nismika,n025020,nˈɪsmɪkə
nisminth,n0250530,nˈɪsmɪnθ
nismitha,n025030,nɪsmˈɪθə
nismithan,n0250305,nˈɪsmɪθən
nisontha,n020530,nɪsˈɒnθə
nisootha,n02030,nˈɪsuːðə
nisoth,n02030,nˈɪsɒθ
nisotha,n02030,nɪsˈɒθə
nisothan,n020305,nˈɪsɒθən
nisothini,n0203050,nˌɪsəθˈiːnɪ
nisrga,n02620,nˈɪsəɡə
nissanth,n020530,nˈɪsanθ
nissar,n0206,nˈɪsɑː
nissi,n020,nˈɪsi
nissim,n0205,nˈɪsɪm
nissin,n0205,nˈɪsɪn
nistha,n0230,nˈɪsθə
nisthi,n0230,nˈɪsθa͡ɪ
nisthula,n023040,nˈɪsθjʊlə
nisvanth,n0210530,nˈɪsvanθ
niswan,n0205,nˈɪswən
niswarth,n020630,nˈɪswɔːθ
niswas,n0202,nˈɪswəz
niswin,n0205,nˈɪswɪn
nisyaanthan,n0205305,nˈɪsɪˌɑːnθən
nisyanthan,n0205305,nˈɪsɪˌanθən
nit,n030,nˈɪt
nita,n030,nˈiːtə
nitaben,n030105,nˈɪte͡ɪbən
nital,n0304,nˈɪtə͡l
nitanshu,n030520,nɪtˈanʃuː
nitara,n03060,nɪtˈɑːɹə
nitarani,n0306050,nˌɪtɐɹˈɑːni
nitasha,n03020,nɪtˈaʃə
nitayasri,n030260,nˈɪte͡ɪˌasɹi
niteen,n0305,nˈɪtiːn
niteesh,n03020,nˈɪtiːʃ
niteesha,n03020,nɪtˈiːʃə
niten,n0305,nˈa͡ɪtən
nitesh,n03020,nˈa͡ɪtəʃ
nitha,n030,nˈɪθə
nithaa,n030,nˈɪθɑː
nithaanan,n030505,nˈɪθɑːnən
nithaangi,n030520,nˈɪθɑːŋɡi
nithaara,n03060,nɪθˈɑːɹə
nithaesh,n03020,nˈɪθiːʃ
nithaeshan,n030205,nˈɪθiːʃən
nithaga,n03020,nɪθˈɑːɡə
nithagi,n03020,nɪθˈɑːɡɪ
nithahi,n030,nɪθˈɑːhɪ
nithaka,n03020,nɪθˈɑːkə
nithakan,n030205,nˈɪθakən
nithaki,n03020,nɪθˈaki
nithalaksh,n0304020,nˈɪθɐlˌakʃ
nithan,n0305,nˈɪθən
nithani,n03050,nɪθˈɑːni
nithanika,n0305020,nˈɪθɐnˌɪkə
nithanya,n03050,nɪθˈanjə
nithara,n03060,nɪθˈɑːɹə
nitharasan,n03060205,nˈɪθɐɹˌasən
nitharasana,n030602050,nˌɪθɐɹɐsˈɑːnə
nitharashan,n03060205,nˈɪθɐɹˌaʃən
nitharna,n030650,nˈɪθɑːnə
nitharsan,n0306205,nˈɪθɑːsən
nitharsana,n03062050,nˌɪθɑːsˈɑːnə
nitharsanan,n030620505,nˌɪθɑːsˈɑːnən
nitharsha,n030620,nˈɪθɑːʃə
nitharshan,n0306205,nˈɪθɑːʃən
nitharshana,n03062050,nˌɪθɑːʃˈɑːnə
nitharshanan,n030620505,nˌɪθɑːʃˈɑːnən
nitharshanasri,n03062050260,nˈɪθɑːʃˌanasɹi
nitharshika,n03062020,nˈɪθɑːʃˌɪkə
nitharshini,n03062050,nˈɪθɑːʃˌa͡ɪni
nitharshiya,n030620,nˈɪθɑːʃˌɪjə
nitharsika,n03062020,nˈɪθɑːsˌɪkə
nitharsini,n03062050,nˌɪθɑːsˈiːnɪ
nithash,n03020,nˈɪθaʃ
nithasha,n03020,nɪθˈaʃə
nithashan,n030205,nˈɪθaʃən
nithasree,n030260,nˈɪθɐsɹˌiː
nithaya,n030,nˈɪθe͡ɪə
nitheeh,n030,nˈɪθiː
nitheepa,n03010,nˈɪθiːpə
nithees,n0302,nˈɪθiːz
nitheesan,n030205,nˈɪθiːsən
nitheesh,n03020,nˈɪθiːʃ
nitheesha,n03020,nɪθˈiːʃə
nitheeshan,n030205,nˈɪθiːʃən
nitheeshkumar,n0302020506,nˈɪθiːʃkjˌuːmə
nithejaan,n030205,nˈɪθɪd͡ʒˌɑːn
nithela,n03040,nɪθˈɛlə
nithelan,n030405,nˈɪθɪlˌan
nithellen,n030405,nˈɪθɛlən
nithenthika,n03053020,nˈɪθənθˌɪkə
nithershan,n0306205,nˈɪðɜːʃən
nithesh,n03020,nˈɪθɛʃ
nitheyasree,n030260,nˈɪθa͡ɪˌasɹiː
nithhya,n030,nˈɪθhɪə
nithi,n030,nˈɪθa͡ɪ
nithia,n030,nˈɪθiə
nithiasri,n030260,nˈɪθɪˌasɹi
nithien,n0305,nˈɪθi͡ən
nithigan,n030205,nˈɪθɪɡən
nithik,n0302,nˈɪθɪk
nithika,n03020,nˈɪθɪkə
nithikaeshan,n03020205,nˈɪθɪkˌiːʃən
nithikala,n0302040,nˌɪθɪkˈɑːlə
nithikaran,n03020605,nˈɪθɪkˌaɹən
nithiksha,n03020,nˈɪθɪkʃə
nithil,n0304,nˈɪθɪl
nithila,n03040,nɪθˈɪlə
nithilam,n030405,nˈɪθɪlˌam
nithilan,n030405,nˈɪθɪlˌan
nithilashini,n030402050,nˈɪθɪlˌaʃa͡ɪni
nithilesh,n0304020,nˈɪθa͡ɪləʃ
nithin,n0305,nˈɪθɪn
nithini,n03050,nɪθˈiːnɪ
nithinja,n030520,nˈɪθɪnjə
nithinkrishna,n03052602050,nˌɪθɪŋkɹˈiːʃnə
nithinlal,n0305404,nˈɪθɪnlə͡l
nithinya,n03050,nɪθˈɪnjə
nithira,n03060,nɪθˈi͡əɹə
nithiran,n030605,nˈɪθɜːɹən
nithirmila,n03065040,nˌɪθəmˈɪlə
nithis,n0302,nˈɪθa͡ɪz
nithish,n03020,nˈɪθɪʃ
nithisha,n03020,nɪθˈiːʃə
nithishka,n0302020,nɪθˈiːʃkə
nithishkumar,n0302020506,nˈɪθɪʃkjˌuːmə
nithishvarman,n03020106505,nˈɪθɪʃvˌɑːmən
nithiska,n03020,nˈɪθɪskə
nithiskar,n030206,nˈɪθɪskˌɑː
nithiskumar,n03020506,nˈɪθɪskjˌuːmə
nithisni,n030250,nɪθˈɪsni
nithisree,n030260,nˈɪθɪsɹˌiː
nithisri,n030260,nɪθˈɪsɹi
nithisya,n03020,nˈɪθɪsɪə
nithithas,n030302,nɪðˈɪθəz
nithiv,n0301,nˈɪθɪv
nithivasanth,n0301020530,nˈɪθɪvˌasanθ
nithiya,n030,nˈɪθɪjə
nithiyakalyani,n030204050,nˌɪθɪjˌakɐlɪˈɑːni
nithiyanandan,n030505305,nˈɪθɪjˌanandən
nithiyananth,n03050530,nˈɪθɪjˌananθ
nithiyananthan,n030505305,nˈɪθɪjˌananθən
nithiyaraj,n030602,nˈɪθɪjˌaɹad͡ʒ
nithiyashree,n0302060,nˈɪθɪjˌaʃɹiː
nithiyasree,n030260,nˈɪθɪjˌasɹiː
nithiyasri,n030260,nˈɪθɪjˌasɹi
nithja,n03020,nˈɪθd͡ʒə
nithmihan,n030505,nˈɪθmɪhˌan
nithmika,n0305020,nˈɪθmɪkə
nithmikan,n03050205,nˈɪθmɪkən
nithoora,n03060,nˈɪθɔːɹə
nithooran,n030605,nˈɪθɔːɹən
nithooshan,n030205,nˈɪθuːʃən
nithooshika,n0302020,nˈɪθuːʃˌɪkə
nithra,n03060,nˈɪθɹə
nithratha,n0306030,nɪθɹˈaθə
nithrathan,n03060305,nˈɪθɹəθən
nithruba,n0306010,nɪθɹˈuːbə
nithrujun,n03060205,nˈɪθɹuːd͡ʒˌʌn
nithrutha,n0306030,nɪθɹˈuːθə
niththan,n030305,nˈɪθθən
niththeesh,n0303020,nˈɪθθiːʃ
niththesh,n0303020,nˈɪθθɛʃ
niththik,n030302,nˈɪθθɪk
niththika,n0303020,nˈɪθθɪkə
niththila,n0303040,nɪθθˈɪlə
niththilan,n03030405,nˈɪθθɪlˌan
niththisha,n0303020,nɪθθˈiːʃə
nithu,n030,nˈɪθuː
nithuchan,n030205,nˈɪθʌt͡ʃən
nithuja,n03020,nˈɪθjuːd͡ʒə
nithujan,n030205,nˈɪθjuːd͡ʒən
nithujayen,n030205,nˈɪθjuːd͡ʒˌe͡ɪən
nithujen,n030205,nˈɪθjuːd͡ʒən
nithujenan,n03020505,nˈɪθjuːd͡ʒˌɛnən
nithujeyan,n030205,nˈɪθjuːd͡ʒˌa͡ɪən
nithuksha,n03020,nˈɪθʌkʃə
nithula,n03040,nˈɪθjʊlə
nithulan,n030405,nˈɪθjʊlˌan
nithumika,n0305020,nˈɪθjuːmˌɪkə
nithumikan,n03050205,nˈɪθjuːmˌɪkən
nithun,n0305,nˈɪθʌn
nithuna,n03050,nɪθˈuːnə
nithura,n03060,nɪθjˈʊ͡əɹə
nithuran,n030605,nˈɪθjʊ͡əɹən
nithurana,n0306050,nˌɪθjʊ͡əɹˈɑːnə
nithuri,n03060,nˈɪθjʊ͡əɹi
nithurika,n0306020,nˈɪθjʊ͡əɹˌɪkə
nithurja,n030620,nˈɪθɜːd͡ʒə
nithurjan,n0306205,nˈɪθɜːd͡ʒən
nithursan,n0306205,nˈɪθɜːsən
nithursha,n030620,nˈɪθɜːʃə
nithurshan,n0306205,nˈɪθɜːʃən
nithurshanan,n030620505,nˌɪθəʃˈɑːnən
nithurshen,n0306205,nˈɪθɜːʃən
nithurvan,n0306105,nˈɪθəvˌan
nithusamini,n030205050,nˌɪθjuːsɐmˈiːnɪ
nithusan,n030205,nˈɪθjuːsən
nithusga,n03020,nˈɪθʌsɡə
nithush,n03020,nˈɪθʌʃ
nithusha,n03020,nɪθˈʌʃə
nithushagi,n0302020,nˌɪθəʃˈɑːɡɪ
nithushakan,n03020205,nˈɪθəʃˌakən
nithushan,n030205,nˈɪθʌʃən
nithushana,n0302050,nˌɪθəʃˈɑːnə
nithushane,n0302050,nˈɪθəʃˌe͡ɪn
nithushanya,n0302050,nˌɪθəʃˈanjə
nithushaya,n03020,nˈɪθəʃˌe͡ɪə
nithushayan,n030205,nˈɪθəʃˌe͡ɪən
nithushga,n0302020,nˈɪθʌʃɡə
nithushiga,n0302020,nˈɪθəʃˌɪɡə
nithushika,n0302020,nˈɪθəʃˌɪkə
nithusiga,n0302020,nˈɪθjuːsˌɪɡə
nithusikan,n03020205,nˈɪθjuːsˌɪkən
nithuska,n03020,nˈɪθʌskə
nithusyanthan,n030205305,nˈɪθəsɪˌanθən
nithutharan,n03030605,nˈɪθəθˌaɹən
nithviga,n0301020,nˈɪθvɪɡə
nithvithan,n03010305,nˈɪθvɪθən
nithwik,n0302,nˈɪθwɪk
nithy,n030,nˈɪθi
nithya,n030,nˈɪθɪə
nithyaa,n030,nˈɪθɪˌɑː
nithyaasha,n03020,nˌɪθɪˈɑːʃə
nithyaashan,n030205,nˈɪθɪˌɑːʃən
nithyadevi,n0303010,nˈɪθɪˌe͡ɪdvi
nithyahashini,n0302050,nˈɪθɪˌahɐʃˌa͡ɪni
nithyakalyani,n030204050,nˌɪθɪˌakɐlɪˈɑːni
nithyakarine,n030206050,nˈɪθɪˌakɑːɹˌiːn
nithyalan,n030405,nˈɪθɪˌalan
nithyan,n0305,nˈɪθɪən
nithyana,n03050,nˌɪθɪˈɑːnə
nithyanan,n030505,nˌɪθɪˈɑːnən
nithyanana,n0305050,nˌɪθɪɐnˈɑːnə
nithyanandan,n030505305,nˈɪθɪˌanandən
nithyanandha,n03050530,nˈɪθɪˌanandhə
nithyanandhi,n03050530,nˌɪθɪɐnˈandhɪ
nithyanandhini,n0305053050,nˌɪθɪˌanɐndhˈiːnɪ
nithyananth,n03050530,nˈɪθɪˌananθ
nithyanantham,n030505305,nˈɪθɪˌananθəm
nithyangi,n030520,nɪθjˈaŋi
nithyani,n03050,nˌɪθɪˈɑːni
nithyanth,n030530,nˈɪθɪˌanθ
nithyapradeep,n030160301,nˈɪθɪˌapɹɐdˌiːp
nithyapriya,n030160,nˈɪθɪˌapɹɪjə
nithyapriyan,n0301605,nˈɪθɪˌapɹɪjən
nithyapushba,n030102010,nˌɪθɪɐpˈʊʃbə
nithyara,n03060,nɪθjˈɑːɹə
nithyarsha,n030620,nˈɪθjɑːʃə
nithyarshan,n0306205,nˈɪθjɑːʃən
nithyarupan,n03060105,nˈɪθjɑːɹˌuːpan
nithyasaran,n03020605,nˈɪθɪˌasaɹən
nithyashankar,n030205206,nˈɪθɪˌaʃɐŋkˌɑː
nithyashree,n0302060,nˈɪθɪˌaʃɹiː
nithyashri,n0302060,nˈɪθɪˌaʃɹi
nithyasmithi,n03025030,nˌɪθɪɐzmˈɪθɪ
nithyasree,n030260,nˈɪθɪˌasɹiː
nithyasri,n030260,nˈɪθɪˌasɹi
nithyasrin,n0302605,nˈɪθɪˌasɹɪn
nithyatharan,n03030605,nˈɪθɪˌaθaɹən
nithyathevan,n03030105,nˈɪθɪˌaθɪvˌan
nithyavadhana,n030103050,nˌɪθɪˌavɐdhˈɑːnə
nithyavani,n0301050,nˌɪθɪɐvˈɑːni
nithyavathana,n030103050,nˌɪθɪˌavɐθˈɑːnə
nithyavilashini,n03010402050,nˈɪθɪˌavɪlˌaʃa͡ɪni
nithyen,n0305,nˈɪθɪən
nithyla,n03040,nˈɪθɪlə
niti,n030,nˈiːti
nitik,n0302,nˈɪtɪk
nitika,n03020,nˈɪtɪkə
nitil,n0304,nˈɪtɪl
nitila,n03040,nɪtˈɪlə
nitilan,n030405,nˈɪtɪlˌan
nitima,n03050,nˈɪtɪmə
nitin,n0305,nˈɪtɪn
nitindas,n0305302,nɪtˈɪndəz
nitinkumar,n030520506,nˈɪtɪŋkjˌuːmə
nitinvijay,n03051020,nˈɪtɪnvˌɪd͡ʒe͡ɪ
nitish,n03020,nˈɪtɪʃ
nitisha,n03020,nɪtˈiːʃə
nitishkumar,n0302020506,nˈɪtɪʃkjˌuːmə
nitnam,n03505,nˈɪtnɑːm
nitran,n03605,nˈa͡ɪtɹan
nitrisha,n036020,na͡ɪtɹˈiːʃə
nitthalan,n030405,nˈɪtθɐlˌan
nitthilan,n030405,nˈɪtθɪlˌan
nitthish,n03020,nˈɪtθɪʃ
nitthiya,n030,nˈɪtθɪjə
nitthiyan,n0305,nˈɪtθɪjən
nittilam,n030405,nˈɪtɪlˌam
nittu,n030,nˈɪtuː
nitturu,n03060,nˈɪtəɹˌuː
nitu,n030,nˈɪtuː
nitul,n0304,nˈɪtʌl
niturajsinh,n030602050,nˈɪt͡ʃəɹˌad͡ʒsɪn
niturshan,n0306205,nˈɪtɜːʃən
nitya,n030,nˈɪtɪə
nityagopal,n03020104,nˈɪtɪˌaɡɒpə͡l
nityam,n0305,nˈɪtɪˌam
nityanand,n0305053,nˈɪtɪˌanand
nityananda,n03050530,nˌɪtɪɐnˈandə
nityanantham,n030505305,nˈɪtɪˌananθəm
nityansh,n030520,nˈɪtɪˌanʃ
nityanta,n030530,nˌɪtɪˈantə
nityapriya,n030160,nˈɪtɪˌapɹɪjə
nityapushta,n030102030,nˈɪtɪˌapʊʃtə
nityarubini,n030601050,nˌɪtjɑːɹuːbˈiːnɪ
nityasha,n03020,nˌɪtɪˈaʃə
nityasree,n030260,nˈɪtɪˌasɹiː
nityasri,n030260,nˈɪtɪˌasɹi
nityasundar,n030205306,nˈɪtɪˌasəndˌɑː
nityasundara,n0302053060,nˌɪtɪˌasəndˈɑːɹə
nitysha,n03020,nˈɪtɪʃə
niv,n010,nˈɪv
niva,n010,nˈiːvə
nivaahini,n01050,nˌɪvɑːhˈiːnɪ
nivaajana,n0102050,nˌɪvɑːd͡ʒˈɑːnə
nivaajini,n0102050,nˌɪvɑːd͡ʒˈiːnɪ
nivaan,n0105,nˈɪvɑːn
nivaanan,n010505,nˈɪvɑːnən
nivaaneka,n0105020,nˈɪvɑːnˌɛkə
nivaanen,n010505,nˈɪvɑːnən
nivaani,n01050,nˈɪvɑːni
nivaanisha,n0105020,nˌɪvɑːnˈiːʃə
nivaarana,n0106050,nɪvˈɑːɹˈɑːnə
nivaarika,n0106020,nɪvˈɑːɹɪkə
nivaas,n0102,nˈɪvɑːz
nivaash,n01020,nˈɪvɑːʃ
nivaasha,n01020,nɪvˈɑːʃə
nivaashan,n010205,nˈɪvɑːʃən
nivaashana,n0102050,nˌɪvɑːʃˈɑːnə
nivaashanan,n01020505,nˌɪvɑːʃˈɑːnən
nivaashayen,n010205,nˈɪvɑːʃˌe͡ɪən
nivaashi,n01020,nɪvˈɑːʃi
nivaashini,n0102050,nˈɪvɑːʃˌa͡ɪni
nivaathishan,n01030205,nˈɪvɑːθˌɪʃən
nivaathith,n0103030,nˈɪvɑːðˌɪθ
nivadhini,n0103050,nˌɪvɐdhˈiːnɪ
nivaedha,n01030,nˈɪviːdhə
nivaesh,n01020,nˈɪviːʃ
nivaesha,n01020,nɪvˈiːʃə
nivaeshan,n010205,nˈɪviːʃən
nivaeth,n01030,nˈɪviːθ
nivaetha,n01030,nɪvˈiːθə
nivaethan,n010305,nˈɪviːθən
nivaethihan,n010305,nˈɪviːθˌɪhan
nivaethisha,n0103020,nˌɪviːθˈiːʃə
nivaethishan,n01030205,nˈɪviːθˌɪʃən
nivaethithan,n01030305,nˈɪviːðˌɪθən
nivaisha,n01020,nɪvˈe͡ɪʃə
nivajiny,n0102050,nˈɪvɐd͡ʒˌɪni
nivali,n01040,nɪvˈɑːli
nivan,n0105,nˈɪvan
nivanan,n010505,nɪvˈɑːnən
nivane,n01050,nˈɪve͡ɪn
nivanisha,n0105020,nˌɪvɐnˈiːʃə
nivanshi,n010520,nˈɪvanʃi
nivanthi,n010530,nɪvˈanθɪ
nivarana,n0106050,nˌɪvɐɹˈɑːnə
nivarsha,n010620,nˈɪvɑːʃə
nivarshan,n0106205,nˈɪvɑːʃən
nivarshana,n01062050,nˌɪvɑːʃˈɑːnə
nivarshayan,n0106205,nˈɪvɑːʃˌe͡ɪən
nivarshi,n010620,nˈɪvɑːʃi
nivarshika,n01062020,nˈɪvɑːʃˌɪkə
nivarshikan,n010620205,nˈɪvɑːʃˌɪkən
nivarshini,n01062050,nˈɪvɑːʃˌa͡ɪni
nivartha,n010630,nɪvˈɑːθə
nivarthan,n0106305,nˈɪvɑːθən
nivarthen,n0106305,nˈɪvɑːðən
nivarthesh,n01063020,nˈɪvɑːθˌɛʃ
nivas,n0102,nˈiːvəz
nivash,n01020,nˈɪvaʃ
nivasha,n01020,nɪvˈaʃə
nivashan,n010205,nˈɪvaʃən
nivashi,n01020,nɪvˈaʃi
nivashika,n0102020,nˈɪvɐʃˌɪkə
nivashini,n0102050,nˈɪvɐʃˌa͡ɪni
nivashkumar,n0102020506,nˈɪvɐʃkjˌuːmə
nivashne,n0102050,nˈɪvaʃn
nivashni,n0102050,nˈɪvaʃni
nivashnie,n0102050,nˈɪvaʃni
nivasinee,n0102050,nˈɪvɐsˌɪniː
nivasini,n0102050,nˌɪvɐsˈiːnɪ
nivasree,n010260,nˈɪvɐsɹˌiː
nivatha,n01030,nɪvˈaθə
nivathan,n010305,nˈɪvəθən
nivathen,n010305,nˈɪvəθən
nivathika,n0103020,nˈɪvɐθˌɪkə
nivati,n01030,nɪvˈɑːti
nivatitha,n0103030,nˌɪvɐtˈɪθə
nive,n010,nˈa͡ɪv
niveah,n010,nˈa͡ɪvə
niveathan,n010305,nˈa͡ɪvəθən
niveathika,n0103020,nˈa͡ɪvɐθˌɪkə
niveathitha,n0103030,nˌa͡ɪvɐðˈɪθə
nived,n0103,nˈa͡ɪvd
niveda,n01030,nˈa͡ɪvdə
nivedan,n010305,nˈa͡ɪvdən
nivedh,n01030,nˈa͡ɪvəd
nivedha,n01030,nˈa͡ɪvdhə
nivedhan,n010305,nˈa͡ɪvdhən
nivedhana,n0103050,na͡ɪvdhˈɑːnə
nivedhanraj,n010305602,nˈa͡ɪvdhɐnɹˌad͡ʒ
nivedhita,n0103030,na͡ɪvdhˈiːtə
nivedhitha,n0103030,na͡ɪvdhˈɪθə
nivedhya,n01030,nˈa͡ɪvdɪə
nivedita,n0103030,na͡ɪvdˈiːtə
niveditha,n0103030,na͡ɪvdˈɪθə
nivedya,n01030,nˈa͡ɪvdɪə
niveen,n0105,nˈa͡ɪvən
niveesh,n01020,nˈa͡ɪvɛʃ
niveesha,n01020,na͡ɪvˈɛʃə
niveeshan,n010205,nˈa͡ɪvɛʃən
niveetha,n01030,na͡ɪvˈɛθə
niveethan,n010305,nˈa͡ɪvɛθən
niveka,n01020,nˈa͡ɪvkə
niven,n0105,nˈa͡ɪvən
nivendhan,n0105305,nˈa͡ɪvəndhən
nivendhran,n010530605,nˈa͡ɪvəndɹən
niveni,n01050,nˈa͡ɪvni
nivenitha,n0105030,na͡ɪvnˈɪθə
niversha,n010620,nˈa͡ɪvəʃə
niverta,n010630,nˈa͡ɪvətə
nivertha,n010630,nˈa͡ɪvəθə
niverthana,n01063050,nˌa͡ɪvəθˈɑːnə
nivesh,n01020,nˈa͡ɪvəʃ
nivesha,n01020,nˈa͡ɪvʃə
niveshsri,n01020260,nˈa͡ɪvʃsɹi
niveshtha,n0102030,nˈa͡ɪvʃθə
nivetha,n01030,nˈa͡ɪvθə
nivethah,n01030,nˈa͡ɪvθə
nivethan,n010305,nˈa͡ɪvθən
nivethana,n0103050,na͡ɪvθˈɑːnə
nivethanaa,n0103050,nˈa͡ɪvθɐnˌɑː
nivethaprabha,n0103016010,nˈa͡ɪvθɐpɹˌabhə
nivetheetha,n0103030,na͡ɪvθˈiːθə
nivethi,n01030,nˈa͡ɪvθa͡ɪ
nivethicka,n0103020,nˈa͡ɪvθɪkə
nivethiga,n0103020,nˈa͡ɪvθɪɡə
nivethigan,n01030205,nˈa͡ɪvθɪɡən
nivethika,n0103020,nˈa͡ɪvθɪkə
nivethini,n0103050,na͡ɪvθˈiːnɪ
nivethita,n0103030,na͡ɪvθˈiːtə
nivethitha,n0103030,na͡ɪvðˈɪθə
nivethithah,n0103030,nˈa͡ɪvðɪθə
nivethithan,n01030305,nˈa͡ɪvðɪθən
nivethitya,n0103030,nˈa͡ɪvθɪtɪə
niveththa,n0103030,nˈa͡ɪvθθə
nivetida,n0103030,nˈa͡ɪvtɪdə
nivetitha,n0103030,na͡ɪvtˈɪθə
nivetta,n01030,na͡ɪvˈɛtə
niveythini,n0103050,nˌa͡ɪvɪθˈiːnɪ
nivi,n010,nˈɪvi
nivid,n0103,nˈɪvɪd
nividya,n01030,nˈɪvɪdɪə
nivie,n010,nˈɪvi
nivikshan,n010205,nˈɪvɪkʃən
nivin,n0105,nˈɪvɪn
nivinesh,n0105020,nˈɪva͡ɪnəʃ
nivisha,n01020,nɪvˈiːʃə
nivita,n01030,nɪvˈiːtə
nivitha,n01030,nɪvˈɪθə
nivithan,n010305,nˈɪvɪθən
nivojika,n0102020,nˈɪvəd͡ʒˌɪkə
nivojini,n0102050,nˌɪvəd͡ʒˈiːnɪ
nivosha,n01020,nɪvˈə͡ʊʃə
nivoshan,n010205,nˈɪvɒʃən
nivoshana,n0102050,nˌɪvəʃˈɑːnə
nivoshanya,n0102050,nˌɪvəʃˈanjə
nivoshini,n0102050,nˈɪvəʃˌa͡ɪni
nivoshithan,n01020305,nˈɪvəʃˌɪθən
nivositha,n0102030,nˌɪvəsˈɪθə
nivoson,n010205,nˈɪvɒsən
nivriti,n016030,nɪvɹˈiːti
nivritti,n016030,nɪvɹˈɪti
nivruth,n016030,nˈɪvɹuːθ
nivruthi,n016030,nɪvɹˈuːθɪ
nivrutti,n016030,nɪvɹˈʌti
nivshaya,n0120,nˈɪvʃe͡ɪə
nivtha,n0130,nˈɪvθə
nivushna,n0102050,nˈɪvʌʃnə
nivuthan,n010305,nˈɪvʌθən
nivya,n010,nˈɪvɪə
nivyana,n01050,nˌɪvɪˈɑːnə
nivyani,n01050,nˌɪvɪˈɑːni
nivyant,n01053,nˈɪvɪənt
nivyanthi,n010530,nˌɪvɪˈanθɪ
nivyasri,n010260,nˈɪvɪˌasɹi
nivytheetha,n0103030,nˌɪvɪθˈiːθə
nivythitha,n0103030,nˌɪvɪðˈɪθə
niwesh,n020,nˈɪwɛʃ
nixia,n020,nˈɪksiə
niya,n000,nˈɪjə
niyaami,n050,nˈɪjɑːmi
niyaamika,n05020,nˈɪjɑːmˌɪkə
niyaamikan,n050205,nˈɪjɑːmˌɪkən
niyaamisha,n05020,nˌɪjɑːmˈiːʃə
niyaani,n050,nˈɪjɑːni
niyaashana,n02050,nˌɪjɑːʃˈɑːnə
niyaashna,n02050,nˈɪjɑːʃnə
niyaaz,n020,nˈɪjɑːz
niyam,n050,nˈɪjam
niyamya,n050,nˈɪjɐmɪə
niyan,n050,nˈɪjən
niyana,n050,nɪjˈɑːnə
niyanamurthi,n05050630,nˌɪjɐnɐmˈɜːθɪ
niyani,n050,nɪjˈɑːni
niyanta,n0530,nɪjˈantə
niyanthrini,n05306050,nˌɪjɐnθɹˈiːnɪ
niyarthana,n063050,nˌɪjɑːθˈɑːnə
niyaruja,n06020,nˈɪjɑːɹˌuːd͡ʒə
niyas,n020,nˈɪjəz
niyasha,n020,nɪjˈaʃə
niyashan,n0205,nˈɪjaʃən
niyashana,n02050,nˌɪjɐʃˈɑːnə
niyashanan,n020505,nˌɪjɐʃˈɑːnən
niyashini,n02050,nˈɪjɐʃˌa͡ɪni
niyath,n030,nˈɪjaθ
niyatha,n030,nɪjˈaθə
niyathi,n030,nɪjˈaθɪ
niyati,n030,nɪjˈɑːti
niyayen,n050,nˈɪje͡ɪən
niyaz,n020,nˈɪjaz
niyazrul,n02604,nˈɪjɐzɹˌʌl
niyoothena,n03050,nˌɪjuːθˈiːnə
niyoothini,n03050,nˌɪjuːθˈiːnɪ
niyukti,n0230,nˈɪjuːkti
niza,n020,nˈiːzə
nizam,n0205,nˈɪzam
nizamuddeen,n02050305,nˈɪzɐmˌʌdiːn
nizamuddin,n02050305,nˈɪzɐmˌʌdɪn
nizandh,n020530,nˈɪzand
nizanth,n020530,nˈɪzanθ
nizantha,n020530,nɪzˈanθə
nizanthi,n020530,nɪzˈanθɪ
nizhalgal,n0204204,nˈɪʒalɡə͡l
nobert,n01063,nˈə͡ʊbɜːt
nobita,n01030,nˈɒba͡ɪtə
noble,n0140,nˈə͡ʊbə͡l
noboya,n010,nəbˈɔ͡ɪə
noel,n040,nˈə͡ʊl
nogender,n0205306,nˈə͡ʊd͡ʒɛndə
nogesha,n02020,nˈə͡ʊd͡ʒʃə
noha,n000,nˈə͡ʊhə
nohitha,n030,nə͡ʊhˈɪθə
nokhilesh,n0204020,nˈɒkha͡ɪləʃ
nokilesh,n0204020,nˈɒka͡ɪləʃ
nolan,n0405,nˈɒlan
noma,n050,nˈə͡ʊmə
nomeska,n05020,nˈə͡ʊmskə
nomit,n0503,nˈɒmɪt
nomita,n05030,nəmˈiːtə
nomshi,n0520,nˈɒmʃi
nomula,n05040,nˈɒmjʊlə
nonikaa,n05020,nˌɒnˈɪkɑː
nonu,n050,nˌɒnjˈuː
noofa,n010,nˈuːfə
noohi,n000,nˈuːha͡ɪ
noolaka,n04020,nuːlˈɑːkə
noomika,n05020,nˈuːmɪkə
noonay,n050,nˈuːne͡ɪ
noone,n050,nˈə͡ʊwɒn
noopur,n0106,nˈuːpʊ͡ə
noor,n060,nˈɔː
noorbasha,n061020,nɔːbˈaʃə
noordeen,n06305,nˈɔːdiːn
noorjahan,n06205,nˈɔːd͡ʒɐhˌan
noorjehan,n06205,nˈɔːd͡ʒɛhən
noothan,n0305,nˈuːθən
noothana,n03050,nuːθˈɑːnə
nora,n060,nˈɔːɹə
norbin,n06105,nˈɔːbɪn
nori,n060,nˈɔːɹi
norlen,n06405,nˈɔːlən
normie,n0650,nˈɔːmi
norrshanth,n0620530,nˈɒəʃˌanθ
